source_ip,destination_ip,source_port,destination_port,protocol,timestamp,packet_size,syn_flags,ack_flags,psh_flags,fin_flags,attack_label
84.184.128.37,207.110.91.89,37687,18078,UDP,2024-11-16 00:00:00,409,1,0,0,0,SSH-Patator
42.28.42.242,128.78.252.90,4435,13207,UDP,2024-11-16 00:00:01,854,1,1,1,1,SSH-Patator
56.192.1.53,165.151.156.38,9342,57777,Reserved,2024-11-16 00:00:02,504,0,1,0,0,DoS Hulk
51.12.95.44,106.10.247.30,19474,28811,UDP,2024-11-16 00:00:03,279,0,1,0,1,DoS Hulk
104.247.136.201,113.233.239.172,45743,57088,TCP,2024-11-16 00:00:04,198,0,1,0,0,DoS GoldenEye
32.2.45.111,121.176.141.24,40131,20120,TCP,2024-11-16 00:00:05,114,1,1,1,0,DoS Slowhttptest
157.172.223.187,36.73.33.224,11625,42729,TCP,2024-11-16 00:00:06,889,0,1,1,1,DDoS
139.51.19.53,12.196.78.17,9838,7501,Reserved,2024-11-16 00:00:07,1078,1,0,0,0,DoS Slowhttptest
93.103.81.23,151.49.116.208,57012,53621,TCP,2024-11-16 00:00:08,844,0,1,0,0,PortScan
160.26.206.103,121.68.177.159,45127,44799,Reserved,2024-11-16 00:00:09,1342,0,1,1,0,DoS GoldenEye
186.238.5.252,52.248.166.225,50265,64791,Reserved,2024-11-16 00:00:10,1404,0,0,0,1,DoS slowloris
118.227.38.218,76.127.116.200,52180,63434,TCP,2024-11-16 00:00:11,1483,1,0,0,0,DoS Hulk
204.71.149.233,194.104.6.204,39177,58505,TCP,2024-11-16 00:00:12,338,1,1,0,0,PortScan
128.231.242.114,119.221.203.231,48304,3056,Reserved,2024-11-16 00:00:13,1075,0,1,1,1,DDoS
219.95.83.6,37.221.238.91,50170,4376,UDP,2024-11-16 00:00:14,751,0,0,1,1,SSH-Patator
223.118.168.181,198.107.10.126,46893,4391,Reserved,2024-11-16 00:00:15,620,0,1,0,0,PortScan
186.103.40.217,163.47.66.198,60147,60667,UDP,2024-11-16 00:00:16,535,1,1,0,0,DoS Hulk
121.28.58.46,203.61.213.189,14269,41900,TCP,2024-11-16 00:00:17,775,0,0,0,1,DoS slowloris
174.252.87.210,167.36.76.241,56821,56205,TCP,2024-11-16 00:00:18,99,1,1,0,0,Infiltration
45.238.200.11,13.39.223.51,32080,61192,UDP,2024-11-16 00:00:19,416,0,1,1,1,DoS Slowhttptest
189.216.2.138,218.110.106.47,43605,36710,TCP,2024-11-16 00:00:20,951,0,0,1,0,DoS Hulk
39.64.95.192,196.50.141.169,42017,2926,Reserved,2024-11-16 00:00:21,1015,0,0,0,1,PortScan
110.65.206.132,52.222.182.104,24277,29362,UDP,2024-11-16 00:00:22,547,1,0,1,0,Infiltration
94.203.167.128,183.219.244.89,47682,52292,TCP,2024-11-16 00:00:23,159,0,1,1,0,DDoS
47.44.17.32,107.98.156.94,24459,39988,UDP,2024-11-16 00:00:24,1419,1,0,1,1,Infiltration
192.73.50.238,54.181.212.39,58583,11965,TCP,2024-11-16 00:00:25,455,0,1,1,1,DoS Slowhttptest
66.34.165.189,168.173.23.83,57864,1695,Reserved,2024-11-16 00:00:26,401,0,1,0,0,DoS Slowhttptest
190.119.25.80,22.137.201.3,36652,43615,UDP,2024-11-16 00:00:27,174,1,1,1,1,Heartbleed
184.135.171.146,161.12.155.112,25776,26504,TCP,2024-11-16 00:00:28,1184,1,0,1,0,FTP-Patator
132.191.19.251,50.156.130.182,54630,12852,TCP,2024-11-16 00:00:29,565,0,1,1,1,DoS Slowhttptest
140.124.94.45,182.42.195.54,42406,54437,UDP,2024-11-16 00:00:30,717,0,1,0,1,Heartbleed
219.38.48.121,34.30.68.64,17980,12713,UDP,2024-11-16 00:00:31,1066,0,0,1,1,DoS Slowhttptest
21.59.37.200,96.135.56.91,59430,64494,UDP,2024-11-16 00:00:32,1420,0,0,1,0,PortScan
168.122.155.137,162.63.211.105,47419,6764,Reserved,2024-11-16 00:00:33,239,0,1,1,1,Heartbleed
94.73.27.241,196.115.32.132,41593,32385,UDP,2024-11-16 00:00:34,1242,1,0,1,0,BENIGN
151.255.36.174,171.55.77.216,29173,44036,Reserved,2024-11-16 00:00:35,330,0,0,0,0,DDoS
43.132.30.207,16.89.24.117,17099,8475,UDP,2024-11-16 00:00:36,1356,0,1,0,0,SSH-Patator
150.15.11.241,181.8.233.209,15956,30118,TCP,2024-11-16 00:00:37,577,0,1,1,0,FTP-Patator
17.79.194.74,111.53.90.114,34368,38973,UDP,2024-11-16 00:00:38,253,1,1,1,0,DoS Hulk
92.177.145.231,184.34.210.233,17354,5845,TCP,2024-11-16 00:00:39,1046,0,1,0,0,DDoS
115.225.44.6,206.247.175.208,8703,24836,TCP,2024-11-16 00:00:40,864,0,1,0,1,DoS GoldenEye
168.63.238.85,44.247.114.162,44190,50579,UDP,2024-11-16 00:00:41,791,1,0,0,0,Heartbleed
166.52.108.74,42.214.127.158,14982,26485,Reserved,2024-11-16 00:00:42,1204,1,1,1,0,BENIGN
