Destination_IP,Destination_Port
192.168.10.3,88
192.168.10.3,389
192.168.10.5,49193
192.168.10.3,135
192.168.10.3,49671
23.202.233.152,80
192.168.10.3,49666
172.217.9.228,443
192.168.10.5,49212
172.217.12.195,443
192.168.10.5,49220
172.217.10.78,443
172.217.12.131,443
172.217.10.131,443
172.217.6.206,80
72.21.91.29,80
54.69.227.52,443
184.25.102.48,80
52.84.145.75,443
192.168.10.5,49219
192.168.10.5,49214
192.168.10.5,49217
192.168.10.5,49222
192.168.10.5,49210
192.168.10.5,49207
192.168.10.3,445
198.41.215.185,80
64.4.54.254,443
23.52.146.130,80
104.88.60.48,80
23.15.4.19,80
23.217.41.219,80
192.168.10.50,53566
192.168.10.50,51130
8.0.6.4,0
192.168.10.3,123
192.168.10.15,56922
192.168.10.9,1034
192.168.10.17,55824
192.168.10.1,53
91.189.89.144,80
192.168.10.8,49155
192.168.10.8,49172
131.253.61.82,80
192.168.10.9,1029
192.168.10.14,49422
131.253.61.82,443
23.15.4.17,80
192.168.10.9,1049
192.168.10.9,1054
192.168.10.8,49158
192.168.10.9,1047
192.168.10.3,3268
91.189.94.25,80
162.213.33.44,443
192.168.10.5,49169
192.168.10.5,49174
192.168.10.9,1040
224.0.0.251,5353
65.55.242.254,443
192.168.10.16,58892
23.61.187.27,80
192.168.10.9,1061
162.213.33.50,443
64.4.54.253,443
224.0.0.22,0
192.168.10.255,137
23.63.226.146,80
40.83.143.209,443
64.4.54.36,443
192.168.10.50,26654
192.168.10.51,37065
192.168.10.50,21
192.168.10.51,49810
192.168.10.50,22
91.189.89.199,123
144.217.95.60,123
158.69.125.231,123
91.189.89.198,123
144.217.252.208,123
199.19.167.36,123
47.55.177.238,123
144.217.148.73,123
206.108.0.133,123
99.224.25.39,123
91.189.95.15,80
128.100.100.128,123
206.108.0.132,123
206.75.89.101,123
199.182.221.110,123
91.236.51.131,443
91.236.51.100,443
172.217.11.46,80
192.168.10.51,43970
144.217.164.10,123
23.111.11.211,80
178.255.83.1,80
172.217.10.110,443
192.168.10.51,39446
157.240.18.19,443
184.84.243.218,80
87.250.250.119,443
192.168.10.51,43540
192.168.10.51,51070
50.63.243.230,80
206.108.0.134,123
91.189.91.157,123
129.128.12.20,123
23.15.4.8,80
91.236.51.45,443
172.217.6.225,443
192.168.10.51,48231
87.250.251.119,443
192.168.10.51,57731
199.96.57.6,443
88.212.201.193,443
66.70.172.17,123
192.168.10.255,138
91.236.51.44,443
194.226.130.228,443
104.16.28.216,80
91.236.51.54,443
192.168.10.50,53708
