 Source IP, Source Port, Label,count
192.168.10.12,16657,BENIGN,1
192.168.10.12,16660,BENIGN,1
192.168.10.12,16698,BENIGN,1
192.168.10.12,16662,BENIGN,1
192.168.10.12,16664,BENIGN,1
192.168.10.12,16665,BENIGN,1
192.168.10.12,16666,BENIGN,1
192.168.10.12,16669,BENIGN,1
192.168.10.12,16671,BENIGN,1
192.168.10.12,16679,BENIGN,1
192.168.10.12,16692,BENIGN,1
192.168.10.12,16764,BENIGN,1
192.168.10.12,16770,BENIGN,1
192.168.10.12,16779,BENIGN,1
192.168.10.12,16868,BENIGN,1
192.168.10.12,16847,BENIGN,1
192.168.10.12,16848,BENIGN,1
192.168.10.12,16850,BENIGN,1
192.168.10.12,16854,BENIGN,1
192.168.10.12,16858,BENIGN,1
192.168.10.12,16862,BENIGN,1
192.168.10.12,16863,BENIGN,1
192.168.10.12,16864,BENIGN,1
192.168.10.12,16869,BENIGN,1
192.168.10.12,16843,BENIGN,1
192.168.10.12,16880,BENIGN,1
192.168.10.12,16881,BENIGN,1
192.168.10.12,16884,BENIGN,1
192.168.10.12,16886,BENIGN,1
192.168.10.12,16887,BENIGN,1
192.168.10.12,16892,BENIGN,1
192.168.10.12,16894,BENIGN,1
192.168.10.12,16895,BENIGN,1
192.168.10.12,16846,BENIGN,1
192.168.10.12,16839,BENIGN,1
192.168.10.12,16780,BENIGN,1
192.168.10.12,16806,BENIGN,1
192.168.10.12,16782,BENIGN,1
192.168.10.12,16785,BENIGN,1
192.168.10.12,16786,BENIGN,1
192.168.10.12,16792,BENIGN,1
192.168.10.12,16793,BENIGN,1
192.168.10.12,16794,BENIGN,1
192.168.10.12,16797,BENIGN,1
192.168.10.12,16805,BENIGN,1
192.168.10.12,16809,BENIGN,1
192.168.10.12,16838,BENIGN,1
192.168.10.12,16814,BENIGN,1
192.168.10.12,16815,BENIGN,1
192.168.10.12,16820,BENIGN,1
192.168.10.12,16821,BENIGN,1
192.168.10.12,16824,BENIGN,1
192.168.10.12,16825,BENIGN,1
192.168.10.12,16827,BENIGN,1
192.168.10.12,16837,BENIGN,1
192.168.10.12,16628,BENIGN,1
192.168.10.12,16621,BENIGN,1
192.168.10.12,17509,BENIGN,1
192.168.10.12,16617,BENIGN,1
192.168.10.12,16423,BENIGN,1
192.168.10.12,16424,BENIGN,1
192.168.10.12,16426,BENIGN,1
192.168.10.12,16427,BENIGN,1
192.168.10.12,16430,BENIGN,1
192.168.10.12,16434,BENIGN,1
192.168.10.12,16436,BENIGN,1
192.168.10.12,16443,BENIGN,1
192.168.10.12,16446,BENIGN,1
192.168.10.12,16448,BENIGN,1
192.168.10.12,16452,BENIGN,1
192.168.10.12,16457,BENIGN,1
192.168.10.12,16458,BENIGN,1
192.168.10.12,16459,BENIGN,1
192.168.10.12,16462,BENIGN,1
192.168.10.12,16467,BENIGN,1
192.168.10.12,16468,BENIGN,1
192.168.10.12,16469,BENIGN,1
192.168.10.12,16472,BENIGN,1
192.168.10.12,16422,BENIGN,1
192.168.10.12,16419,BENIGN,1
192.168.10.12,16403,BENIGN,1
192.168.10.12,16363,BENIGN,1
192.168.10.12,16334,BENIGN,1
192.168.10.12,16335,BENIGN,1
192.168.10.12,16336,BENIGN,1
192.168.10.12,16345,BENIGN,1
192.168.10.12,16347,BENIGN,1
192.168.10.12,16355,BENIGN,1
192.168.10.12,16356,BENIGN,1
192.168.10.12,16362,BENIGN,1
192.168.10.12,16365,BENIGN,1
192.168.10.12,16400,BENIGN,1
192.168.10.12,16370,BENIGN,1
192.168.10.12,16374,BENIGN,1
192.168.10.12,16382,BENIGN,1
192.168.10.12,16385,BENIGN,1
192.168.10.12,16389,BENIGN,1
192.168.10.12,16392,BENIGN,1
192.168.10.12,16395,BENIGN,1
192.168.10.12,16397,BENIGN,1
192.168.10.12,16473,BENIGN,1
192.168.10.12,16476,BENIGN,1
192.168.10.12,16477,BENIGN,1
192.168.10.12,16585,BENIGN,1
192.168.10.12,16561,BENIGN,1
192.168.10.12,16563,BENIGN,1
192.168.10.12,16570,BENIGN,1
192.168.10.12,16572,BENIGN,1
192.168.10.12,16577,BENIGN,1
192.168.10.12,16578,BENIGN,1
192.168.10.12,16580,BENIGN,1
192.168.10.12,16581,BENIGN,1
192.168.10.12,16587,BENIGN,1
192.168.10.12,16555,BENIGN,1
192.168.10.12,16590,BENIGN,1
192.168.10.12,16598,BENIGN,1
192.168.10.12,16600,BENIGN,1
192.168.10.12,16601,BENIGN,1
192.168.10.12,16607,BENIGN,1
192.168.10.12,16609,BENIGN,1
192.168.10.12,16610,BENIGN,1
192.168.10.12,16616,BENIGN,1
192.168.10.12,16557,BENIGN,1
192.168.10.12,16554,BENIGN,1
192.168.10.12,16481,BENIGN,1
192.168.10.12,16520,BENIGN,1
192.168.10.12,16490,BENIGN,1
192.168.10.12,16491,BENIGN,1
192.168.10.12,16495,BENIGN,1
192.168.10.12,16497,BENIGN,1
192.168.10.12,16498,BENIGN,1
192.168.10.12,16507,BENIGN,1
192.168.10.12,16508,BENIGN,1
192.168.10.12,16517,BENIGN,1
192.168.10.12,16521,BENIGN,1
192.168.10.12,16549,BENIGN,1
192.168.10.12,16522,BENIGN,1
192.168.10.12,16523,BENIGN,1
192.168.10.12,16532,BENIGN,1
192.168.10.12,16535,BENIGN,1
192.168.10.12,16538,BENIGN,1
192.168.10.12,16541,BENIGN,1
192.168.10.12,16543,BENIGN,1
192.168.10.12,16548,BENIGN,1
192.168.10.12,16896,BENIGN,1
192.168.10.12,16903,BENIGN,1
192.168.10.12,16904,BENIGN,1
192.168.10.12,16906,BENIGN,1
192.168.10.12,17293,BENIGN,1
192.168.10.12,17296,BENIGN,1
192.168.10.12,17298,BENIGN,1
192.168.10.12,17299,BENIGN,1
192.168.10.12,17301,BENIGN,1
192.168.10.12,17304,BENIGN,1
192.168.10.12,17305,BENIGN,1
192.168.10.12,17308,BENIGN,1
192.168.10.12,17312,BENIGN,1
192.168.10.12,17313,BENIGN,1
192.168.10.12,17315,BENIGN,1
192.168.10.12,17322,BENIGN,1
192.168.10.12,17325,BENIGN,1
