s.Source_IP,s.Source_Port,l.Label_Name,r.count
172.16.0.1,45422,FTP-Patator,2
172.16.0.1,60132,FTP-Patator,4
172.16.0.1,60134,FTP-Patator,4
172.16.0.1,60136,FTP-Patator,4
172.16.0.1,60126,FTP-Patator,4
172.16.0.1,60128,FTP-Patator,4
172.16.0.1,60130,FTP-Patator,4
172.16.0.1,60124,FTP-Patator,4
172.16.0.1,60144,FTP-Patator,2
172.16.0.1,60120,FTP-Patator,4
172.16.0.1,60122,FTP-Patator,4
172.16.0.1,60118,FTP-Patator,4
172.16.0.1,60138,FTP-Patator,2
172.16.0.1,60140,FTP-Patator,2
172.16.0.1,60142,FTP-Patator,2
172.16.0.1,60106,FTP-Patator,4
172.16.0.1,60112,FTP-Patator,4
172.16.0.1,60116,FTP-Patator,4
172.16.0.1,60114,FTP-Patator,4
172.16.0.1,60108,FTP-Patator,4
172.16.0.1,60110,FTP-Patator,4
172.16.0.1,60104,FTP-Patator,4
172.16.0.1,60098,FTP-Patator,4
172.16.0.1,60100,FTP-Patator,4
172.16.0.1,60102,FTP-Patator,4
172.16.0.1,60088,FTP-Patator,4
172.16.0.1,60086,FTP-Patator,4
172.16.0.1,60096,FTP-Patator,4
172.16.0.1,60094,FTP-Patator,4
172.16.0.1,60092,FTP-Patator,4
172.16.0.1,60090,FTP-Patator,4
172.16.0.1,60084,FTP-Patator,4
172.16.0.1,60078,FTP-Patator,4
172.16.0.1,60080,FTP-Patator,4
172.16.0.1,60082,FTP-Patator,4
172.16.0.1,60074,FTP-Patator,4
172.16.0.1,60068,FTP-Patator,4
172.16.0.1,60066,FTP-Patator,4
172.16.0.1,60076,FTP-Patator,4
172.16.0.1,60070,FTP-Patator,4
172.16.0.1,60072,FTP-Patator,4
172.16.0.1,60064,FTP-Patator,4
172.16.0.1,60058,FTP-Patator,4
172.16.0.1,60060,FTP-Patator,4
172.16.0.1,60062,FTP-Patator,4
172.16.0.1,60052,FTP-Patator,4
172.16.0.1,60050,FTP-Patator,4
172.16.0.1,60054,FTP-Patator,4
172.16.0.1,60056,FTP-Patator,4
172.16.0.1,60046,FTP-Patator,4
172.16.0.1,60048,FTP-Patator,4
172.16.0.1,60044,FTP-Patator,4
172.16.0.1,60038,FTP-Patator,4
172.16.0.1,60042,FTP-Patator,4
172.16.0.1,60040,FTP-Patator,4
172.16.0.1,60034,FTP-Patator,4
172.16.0.1,60036,FTP-Patator,4
172.16.0.1,60026,FTP-Patator,4
172.16.0.1,60028,FTP-Patator,4
172.16.0.1,60030,FTP-Patator,4
172.16.0.1,60032,FTP-Patator,4
172.16.0.1,60024,FTP-Patator,4
172.16.0.1,60018,FTP-Patator,4
172.16.0.1,60020,FTP-Patator,4
172.16.0.1,60022,FTP-Patator,4
172.16.0.1,60010,FTP-Patator,4
172.16.0.1,60012,FTP-Patator,4
172.16.0.1,60008,FTP-Patator,4
172.16.0.1,60014,FTP-Patator,4
172.16.0.1,60016,FTP-Patator,4
172.16.0.1,60006,FTP-Patator,4
172.16.0.1,60004,FTP-Patator,4
172.16.0.1,59998,FTP-Patator,4
172.16.0.1,60000,FTP-Patator,4
172.16.0.1,60002,FTP-Patator,4
172.16.0.1,59988,FTP-Patator,4
172.16.0.1,59990,FTP-Patator,4
172.16.0.1,59994,FTP-Patator,4
172.16.0.1,59996,FTP-Patator,4
172.16.0.1,59992,FTP-Patator,4
172.16.0.1,59986,FTP-Patator,4
172.16.0.1,59984,FTP-Patator,4
172.16.0.1,59978,FTP-Patator,4
172.16.0.1,59982,FTP-Patator,4
172.16.0.1,59980,FTP-Patator,4
172.16.0.1,59968,FTP-Patator,4
172.16.0.1,59972,FTP-Patator,4
172.16.0.1,59974,FTP-Patator,4
172.16.0.1,59976,FTP-Patator,4
172.16.0.1,59970,FTP-Patator,4
172.16.0.1,59966,FTP-Patator,4
172.16.0.1,59964,FTP-Patator,4
172.16.0.1,59958,FTP-Patator,4
172.16.0.1,59960,FTP-Patator,4
172.16.0.1,59962,FTP-Patator,4
172.16.0.1,59950,FTP-Patator,4
172.16.0.1,59952,FTP-Patator,4
172.16.0.1,59946,FTP-Patator,4
172.16.0.1,59948,FTP-Patator,4
172.16.0.1,59956,FTP-Patator,4
172.16.0.1,59954,FTP-Patator,4
172.16.0.1,59944,FTP-Patator,4
172.16.0.1,59940,FTP-Patator,4
172.16.0.1,59942,FTP-Patator,4
172.16.0.1,59938,FTP-Patator,4
172.16.0.1,59926,FTP-Patator,4
172.16.0.1,59928,FTP-Patator,4
172.16.0.1,59930,FTP-Patator,4
172.16.0.1,59932,FTP-Patator,4
172.16.0.1,59936,FTP-Patator,4
172.16.0.1,59934,FTP-Patator,4
172.16.0.1,59924,FTP-Patator,4
172.16.0.1,59922,FTP-Patator,4
172.16.0.1,59920,FTP-Patator,4
172.16.0.1,59918,FTP-Patator,4
172.16.0.1,59906,FTP-Patator,4
172.16.0.1,59910,FTP-Patator,4
172.16.0.1,59908,FTP-Patator,4
172.16.0.1,59912,FTP-Patator,4
172.16.0.1,59916,FTP-Patator,4
172.16.0.1,59914,FTP-Patator,4
172.16.0.1,59904,FTP-Patator,4
172.16.0.1,59902,FTP-Patator,4
172.16.0.1,59898,FTP-Patator,4
172.16.0.1,59900,FTP-Patator,4
172.16.0.1,59886,FTP-Patator,4
172.16.0.1,59892,FTP-Patator,4
172.16.0.1,59894,FTP-Patator,4
172.16.0.1,59896,FTP-Patator,4
172.16.0.1,59888,FTP-Patator,4
172.16.0.1,59890,FTP-Patator,4
172.16.0.1,59884,FTP-Patator,4
172.16.0.1,59878,FTP-Patator,4
172.16.0.1,59882,FTP-Patator,4
172.16.0.1,59880,FTP-Patator,4
172.16.0.1,59876,FTP-Patator,4
172.16.0.1,59872,FTP-Patator,4
172.16.0.1,59874,FTP-Patator,4
172.16.0.1,59868,FTP-Patator,4
172.16.0.1,59870,FTP-Patator,4
172.16.0.1,59866,FTP-Patator,4
172.16.0.1,59864,FTP-Patator,4
172.16.0.1,59860,FTP-Patator,4
172.16.0.1,59862,FTP-Patator,4
172.16.0.1,59858,FTP-Patator,4
172.16.0.1,59848,FTP-Patator,4
172.16.0.1,59850,FTP-Patator,4
172.16.0.1,59852,FTP-Patator,4
172.16.0.1,59854,FTP-Patator,4
172.16.0.1,59856,FTP-Patator,4
172.16.0.1,59846,FTP-Patator,4
172.16.0.1,59844,FTP-Patator,4
172.16.0.1,59842,FTP-Patator,4
172.16.0.1,59840,FTP-Patator,4
172.16.0.1,59826,FTP-Patator,4
172.16.0.1,59830,FTP-Patator,4
172.16.0.1,59828,FTP-Patator,4
172.16.0.1,59834,FTP-Patator,4
172.16.0.1,59832,FTP-Patator,4
172.16.0.1,59836,FTP-Patator,4
172.16.0.1,59838,FTP-Patator,4
172.16.0.1,59824,FTP-Patator,4
172.16.0.1,59820,FTP-Patator,4
172.16.0.1,59822,FTP-Patator,4
172.16.0.1,59814,FTP-Patator,4
172.16.0.1,59816,FTP-Patator,4
172.16.0.1,59810,FTP-Patator,4
172.16.0.1,59808,FTP-Patator,4
172.16.0.1,59812,FTP-Patator,4
172.16.0.1,59818,FTP-Patator,4
172.16.0.1,59806,FTP-Patator,4
172.16.0.1,59804,FTP-Patator,4
172.16.0.1,59802,FTP-Patator,4
172.16.0.1,59800,FTP-Patator,4
172.16.0.1,59790,FTP-Patator,4
172.16.0.1,59792,FTP-Patator,4
172.16.0.1,59796,FTP-Patator,4
172.16.0.1,59794,FTP-Patator,4
172.16.0.1,59788,FTP-Patator,4
172.16.0.1,59798,FTP-Patator,4
172.16.0.1,59786,FTP-Patator,4
172.16.0.1,59784,FTP-Patator,4
172.16.0.1,59778,FTP-Patator,4
172.16.0.1,59776,FTP-Patator,4
172.16.0.1,59770,FTP-Patator,4
172.16.0.1,59768,FTP-Patator,4
172.16.0.1,59772,FTP-Patator,4
172.16.0.1,59774,FTP-Patator,4
172.16.0.1,59762,FTP-Patator,4
172.16.0.1,59766,FTP-Patator,4
172.16.0.1,59764,FTP-Patator,4
172.16.0.1,59760,FTP-Patator,4
172.16.0.1,59758,FTP-Patator,4
172.16.0.1,59756,FTP-Patator,4
172.16.0.1,59752,FTP-Patator,4
172.16.0.1,59750,FTP-Patator,4
172.16.0.1,59748,FTP-Patator,4
172.16.0.1,59746,FTP-Patator,4
172.16.0.1,59754,FTP-Patator,4
172.16.0.1,59742,FTP-Patator,4
172.16.0.1,59744,FTP-Patator,4
172.16.0.1,59740,FTP-Patator,4
172.16.0.1,59738,FTP-Patator,4
172.16.0.1,59736,FTP-Patator,4
172.16.0.1,59734,FTP-Patator,4
172.16.0.1,59724,FTP-Patator,4
172.16.0.1,59722,FTP-Patator,4
172.16.0.1,59728,FTP-Patator,4
172.16.0.1,59726,FTP-Patator,4
172.16.0.1,59732,FTP-Patator,4
172.16.0.1,59720,FTP-Patator,4
172.16.0.1,59718,FTP-Patator,4
172.16.0.1,59716,FTP-Patator,4
172.16.0.1,59714,FTP-Patator,4
172.16.0.1,59702,FTP-Patator,4
172.16.0.1,59704,FTP-Patator,4
172.16.0.1,59706,FTP-Patator,4
172.16.0.1,59708,FTP-Patator,4
172.16.0.1,59710,FTP-Patator,4
172.16.0.1,59712,FTP-Patator,4
172.16.0.1,59730,FTP-Patator,2
172.16.0.1,59698,FTP-Patator,4
172.16.0.1,59700,FTP-Patator,4
172.16.0.1,59696,FTP-Patator,4
172.16.0.1,59694,FTP-Patator,4
172.16.0.1,59684,FTP-Patator,4
172.16.0.1,59682,FTP-Patator,4
172.16.0.1,59688,FTP-Patator,4
172.16.0.1,59686,FTP-Patator,4
172.16.0.1,59690,FTP-Patator,4
172.16.0.1,59692,FTP-Patator,4
172.16.0.1,59678,FTP-Patator,4
172.16.0.1,59680,FTP-Patator,4
172.16.0.1,59674,FTP-Patator,4
172.16.0.1,59676,FTP-Patator,4
172.16.0.1,59670,FTP-Patator,4
172.16.0.1,59672,FTP-Patator,4
172.16.0.1,59662,FTP-Patator,4
172.16.0.1,59664,FTP-Patator,4
172.16.0.1,59666,FTP-Patator,4
172.16.0.1,59668,FTP-Patator,4
172.16.0.1,59660,FTP-Patator,4
172.16.0.1,59658,FTP-Patator,4
172.16.0.1,59656,FTP-Patator,4
172.16.0.1,59654,FTP-Patator,4
172.16.0.1,59648,FTP-Patator,4
172.16.0.1,59646,FTP-Patator,4
172.16.0.1,59650,FTP-Patator,4
172.16.0.1,59652,FTP-Patator,4
172.16.0.1,59642,FTP-Patator,4
172.16.0.1,59644,FTP-Patator,4
172.16.0.1,59638,FTP-Patator,4
172.16.0.1,59640,FTP-Patator,4
172.16.0.1,59634,FTP-Patator,4
172.16.0.1,59636,FTP-Patator,4
172.16.0.1,59622,FTP-Patator,4
172.16.0.1,59624,FTP-Patator,4
172.16.0.1,59626,FTP-Patator,4
172.16.0.1,59628,FTP-Patator,4
172.16.0.1,59630,FTP-Patator,4
172.16.0.1,59632,FTP-Patator,4
172.16.0.1,59618,FTP-Patator,4
172.16.0.1,59620,FTP-Patator,4
172.16.0.1,59614,FTP-Patator,4
172.16.0.1,59616,FTP-Patator,4
172.16.0.1,59602,FTP-Patator,4
172.16.0.1,59604,FTP-Patator,4
172.16.0.1,59606,FTP-Patator,4
172.16.0.1,59608,FTP-Patator,4
172.16.0.1,59610,FTP-Patator,4
172.16.0.1,59612,FTP-Patator,4
172.16.0.1,59598,FTP-Patator,4
172.16.0.1,59600,FTP-Patator,4
172.16.0.1,59594,FTP-Patator,4
172.16.0.1,59596,FTP-Patator,4
172.16.0.1,59582,FTP-Patator,4
172.16.0.1,59584,FTP-Patator,4
172.16.0.1,59586,FTP-Patator,4
172.16.0.1,59590,FTP-Patator,4
172.16.0.1,59588,FTP-Patator,4
172.16.0.1,59592,FTP-Patator,4
172.16.0.1,59580,FTP-Patator,4
172.16.0.1,59578,FTP-Patator,4
172.16.0.1,59574,FTP-Patator,4
172.16.0.1,59576,FTP-Patator,4
172.16.0.1,59566,FTP-Patator,4
172.16.0.1,59572,FTP-Patator,4
172.16.0.1,59570,FTP-Patator,4
172.16.0.1,59568,FTP-Patator,4
172.16.0.1,59562,FTP-Patator,4
172.16.0.1,59564,FTP-Patator,4
172.16.0.1,59560,FTP-Patator,4
172.16.0.1,59558,FTP-Patator,4
172.16.0.1,59554,FTP-Patator,4
172.16.0.1,59556,FTP-Patator,4
172.16.0.1,59542,FTP-Patator,4
172.16.0.1,59544,FTP-Patator,4
172.16.0.1,59550,FTP-Patator,4
