"source_ip","destination_ip","protocol_name","hour","total_flags","avg_packet_length","event_count"
"52.84.145.70","192.168.10.25",TCP,12,536,0.0,536
"104.84.148.123","192.168.10.25",TCP,12,702,18.98206429998473,394
"172.16.0.1","192.168.10.50",TCP,11,10608,260.0298515026571,20035
"173.223.152.83","192.168.10.25",TCP,11,3320,16.015432100570663,1998
"192.168.10.51","172.16.0.1",TCP,11,684,158.02955322677246,697
"172.16.0.1","192.168.10.50",TCP,10,159637,586.1922894273075,234764
"192.168.10.50","172.16.0.1",TCP,10,6803,529.6652758175458,6981
"192.168.10.51","172.16.0.1",TCP,10,1798,182.6350027021788,1745
"172.16.0.1","192.168.10.50",TCP,9,12232,18.134700058974808,13733
"172.16.0.1","192.168.10.50",TCP,4,58404,721.7178287273018,104212
"192.168.10.50","172.16.0.1",TCP,4,25821,494.4582189226949,26801
"162.208.20.178","192.168.10.9",TCP,4,538,67.99508692698419,378
"172.16.0.1","192.168.10.50",TCP,3,12694,295.16472990657235,65981
"192.168.10.50","172.16.0.1",TCP,3,5706,313.42071616075344,5054
"192.168.10.5","162.208.20.178",TCP,3,644,247.84558763880065,4045
"192.168.10.5","162.208.22.34",TCP,3,727,232.07696067949718,3496
"162.208.20.178","192.168.10.5",TCP,3,4812,134.67981055774868,2594
"192.168.10.25","142.0.160.53",TCP,3,877,170.42938791399376,1901
"162.208.22.34","192.168.10.5",TCP,3,3150,134.7116129864966,1701
"192.168.10.51","162.213.33.50",TCP,3,508,112.03479327114351,1032
"142.0.160.53","192.168.10.25",TCP,3,1022,0.0,1022
"192.168.10.51","172.16.0.1",TCP,3,767,174.47864906322167,813
"192.168.10.50","192.168.10.3",TCP,3,572,161.94934076651685,445
"151.101.21.127","192.168.10.17",TCP,3,782,20.46035805941185,391
"172.16.0.1","192.168.10.50",TCP,2,4920,4.215726265106054,287178
"192.168.10.50","172.16.0.1",TCP,2,1541,4.065240872887852,1543
"192.168.10.51","172.16.0.1",TCP,2,1426,156.82940449129492,1433
"192.168.10.25","142.0.160.53",TCP,2,636,161.65974437691122,1334
"192.168.10.51","162.213.33.50",TCP,2,565,113.70365040390597,1147
"142.0.160.53","192.168.10.25",TCP,2,697,0.0,697
"192.168.10.50","192.168.10.3",TCP,2,635,161.0144195028689,488
"192.168.10.19","67.72.99.137",TCP,1,942,148.40149767742633,1896
"192.168.10.51","162.213.33.50",TCP,1,563,112.42568956014861,1145
"104.88.66.118","192.168.10.25",TCP,1,1462,11.611526182528747,1044
"192.168.10.51","172.16.0.1",TCP,1,846,246.098921976892,756
"192.168.10.50","192.168.10.3",TCP,1,606,163.64000710101254,478
