"source_ip","protocol_name","total_packet_forwarded"
"192.168.10.15",TCP,5025223.0
"192.168.10.14",TCP,4009033.0
"172.16.0.1",TCP,2498430.0
"192.168.10.8",TCP,1065656.0
"192.168.10.25",TCP,1030216.0
"192.168.10.5",TCP,996930.0
"192.168.10.9",TCP,914799.0
"192.168.10.17",TCP,845942.0
"192.168.10.12",TCP,816166.0
"192.168.10.16",TCP,807033.0
"192.168.10.19",TCP,693482.0
"192.168.10.51",TCP,634442.0
"192.168.10.3",UDP,319986.0
"192.168.10.50",TCP,241704.0
"192.168.10.15",UDP,178842.0
"192.168.10.5",UDP,173612.0
"192.168.10.14",UDP,170409.0
"192.168.10.8",UDP,163398.0
"8.6.0.1",Reserved,151099.0
"192.168.10.9",UDP,138525.0
"192.168.10.17",UDP,120329.0
"192.168.10.12",UDP,115462.0
"192.168.10.16",UDP,109583.0
"192.168.10.19",UDP,104070.0
"192.168.10.50",UDP,54697.0
"192.168.10.25",UDP,48407.0
"192.168.10.51",UDP,43114.0
"192.168.10.3",TCP,20851.0
"199.244.49.56",TCP,12480.0
"199.244.48.50",TCP,11972.0
"162.208.20.178",TCP,6603.0
"72.21.91.29",TCP,6202.0
"23.208.79.206",TCP,5346.0
"162.208.22.34",TCP,3750.0
"173.223.152.83",TCP,3705.0
"23.50.75.27",TCP,3686.0
"142.0.160.53",TCP,3573.0
"23.60.139.27",TCP,2665.0
"23.61.187.27",TCP,2542.0
"157.240.2.25",TCP,2358.0
"157.240.2.35",TCP,2205.0
"104.88.66.118",TCP,2079.0
"172.217.12.130",TCP,1955.0
"199.244.48.54",TCP,1853.0
"52.84.145.207",TCP,1760.0
"199.244.48.55",TCP,1744.0
"172.217.12.206",TCP,1717.0
"192.229.210.12",TCP,1712.0
"52.84.145.164",TCP,1695.0
"173.241.242.143",TCP,1611.0
"172.217.3.98",TCP,1572.0
"172.217.10.238",TCP,1568.0
"31.13.80.12",TCP,1568.0
"172.217.12.162",TCP,1559.0
"52.84.145.70",TCP,1544.0
"52.84.145.117",TCP,1504.0
"172.217.12.174",TCP,1503.0
"74.119.118.74",TCP,1437.0
"172.217.6.226",TCP,1422.0
"172.217.10.2",TCP,1387.0
"172.217.9.238",TCP,1381.0
"157.240.18.35",TCP,1378.0
"172.217.12.194",TCP,1361.0
"172.217.11.14",TCP,1357.0
"172.217.10.14",TCP,1342.0
"172.217.3.110",TCP,1330.0
"52.84.145.252",TCP,1323.0
"74.119.118.94",TCP,1318.0
"31.13.71.7",TCP,1313.0
"52.84.145.136",TCP,1308.0
"172.217.6.238",TCP,1254.0
"172.217.10.66",TCP,1254.0
"104.88.89.135",TCP,1248.0
"157.240.18.19",TCP,1225.0
"52.84.145.135",TCP,1220.0
"172.217.11.34",TCP,1211.0
"172.217.11.46",TCP,1202.0
"172.217.11.2",TCP,1193.0
"172.217.10.34",TCP,1186.0
"172.217.6.206",TCP,1178.0
"172.217.12.142",TCP,1177.0
"172.217.9.226",TCP,1151.0
"172.217.10.46",TCP,1122.0
"172.217.6.194",TCP,1114.0
"31.13.71.36",TCP,1106.0
"172.217.10.35",TCP,1072.0
"172.217.10.142",TCP,1071.0
"172.217.10.130",TCP,1065.0
"192.82.242.50",TCP,1059.0
"54.192.37.158",TCP,1023.0
"172.217.10.226",TCP,1022.0
"104.84.148.123",TCP,998.0
"216.58.219.238",TCP,976.0
"172.217.10.98",TCP,971.0
"52.84.145.65",TCP,970.0
"199.167.65.25",TCP,957.0
"50.63.243.230",TCP,942.0
"172.217.12.195",TCP,940.0
"8.41.222.134",TCP,930.0
"172.217.7.2",TCP,924.0
"23.194.141.179",TCP,898.0
"152.163.56.2",TCP,874.0
"54.192.37.10",TCP,868.0
"54.192.37.200",TCP,846.0
"93.184.216.180",TCP,840.0
