"source_ip","destination_ip","total_flags"
"192.168.10.15","64.4.54.254",104
"192.168.10.50","192.168.10.3",2326
"192.168.10.9","192.168.10.3",507
"192.168.10.8","192.168.10.3",683
"192.168.10.14","192.168.10.3",441
"192.168.10.12","192.168.10.3",494
"192.168.10.51","162.213.33.44",236
"192.168.10.51","192.168.10.50",951
"192.168.10.9","172.217.3.98",209
"192.168.10.51","72.21.91.29",305
"192.168.10.9","72.21.91.29",881
"192.168.10.25","192.168.10.3",1503
"192.168.10.51","172.217.12.206",104
"192.168.10.25","172.217.3.110",107
"192.168.10.9","172.217.9.238",128
"192.168.10.25","104.17.162.9",114
"192.168.10.14","72.21.91.29",842
"192.168.10.5","192.168.10.50",1130
"192.168.10.12","72.167.239.239",264
"192.168.10.14","172.217.11.34",142
"192.168.10.14","50.63.243.230",470
"192.168.10.16","23.50.75.27",768
"192.168.10.8","192.168.10.50",5361
"192.168.10.8","23.50.75.27",745
"192.168.10.12","72.21.91.29",859
"192.168.10.5","173.241.242.143",280
"192.168.10.5","173.241.242.220",151
"192.168.10.25","172.217.12.163",108
"192.168.10.5","23.61.187.27",516
"192.168.10.15","23.50.75.27",578
"192.168.10.9","157.240.2.35",156
"192.168.10.51","185.170.48.239",135
"192.168.10.8","172.217.3.110",147
"192.168.10.8","63.251.98.12",102
"192.168.10.8","173.241.242.143",212
"192.168.10.15","72.21.91.29",877
"192.168.10.9","50.63.243.230",763
"192.168.10.16","31.13.71.7",152
"192.168.10.19","172.217.12.206",114
"192.168.10.25","178.172.160.16",114
"192.168.10.25","178.172.160.3",103
"192.168.10.15","178.255.83.1",1312
"192.168.10.15","172.217.11.34",109
"192.168.10.5","172.217.11.46",117
"192.168.10.19","178.255.83.1",607
"192.168.10.15","50.63.243.230",523
"192.168.10.15","192.82.242.50",119
"192.168.10.16","172.217.12.162",128
"192.168.10.14","157.240.18.35",113
"192.168.10.8","74.119.118.74",110
"192.168.10.16","172.217.12.142",114
"192.168.10.25","172.217.12.142",124
"192.168.10.9","172.217.10.2",121
"192.168.10.15","172.217.11.2",129
"192.168.10.15","172.217.9.226",105
"192.168.10.5","68.67.178.176",145
"192.168.10.17","172.217.11.2",125
"192.168.10.12","178.255.83.1",1067
"192.168.10.16","172.217.10.14",126
"192.168.10.16","172.217.10.142",106
"192.168.10.25","172.217.10.14",139
"192.168.10.25","54.192.37.10",475
"192.168.10.19","23.50.75.27",426
