"source_ip","destination_ip","protocol_name","hour","total_flags","avg_packet_length","event_count"
"52.84.145.70","192.168.10.25",TCP,12,536,0.0,536
"104.84.148.123","192.168.10.25",TCP,12,702,18.982064299984778,394
"172.16.0.1","192.168.10.50",TCP,11,10608,260.0298515026575,20035
"173.223.152.83","192.168.10.25",TCP,11,3320,16.015432100570532,1998
"192.168.10.51","172.16.0.1",TCP,11,684,158.02955322677198,697
"172.16.0.1","192.168.10.50",TCP,10,159637,586.1922894273371,234764
"192.168.10.50","172.16.0.1",TCP,10,6803,529.665275817547,6981
"192.168.10.51","172.16.0.1",TCP,10,1798,182.63500270217745,1745
"172.16.0.1","192.168.10.50",TCP,9,12232,18.134700058975103,13733
"172.16.0.1","192.168.10.50",TCP,4,58404,721.7178287273708,104212
"192.168.10.50","172.16.0.1",TCP,4,25821,494.4582189226907,26801
"162.208.20.178","192.168.10.9",TCP,4,538,67.99508692698411,378
"172.16.0.1","192.168.10.50",TCP,3,12694,295.1647299065987,65981
"192.168.10.50","172.16.0.1",TCP,3,5706,313.4207161607511,5054
"192.168.10.5","162.208.20.178",TCP,3,644,247.84558763880892,4045
"192.168.10.5","162.208.22.34",TCP,3,727,232.0769606795037,3496
"162.208.20.178","192.168.10.5",TCP,3,4812,134.67981055774865,2594
"192.168.10.25","142.0.160.53",TCP,3,877,170.42938791399303,1901
"162.208.22.34","192.168.10.5",TCP,3,3150,134.71161298649636,1701
"192.168.10.51","162.213.33.50",TCP,3,508,112.03479327114341,1032
"142.0.160.53","192.168.10.25",TCP,3,1022,0.0,1022
"192.168.10.51","172.16.0.1",TCP,3,767,174.47864906322278,813
"192.168.10.50","192.168.10.3",TCP,3,572,161.94934076651685,445
"151.101.21.127","192.168.10.17",TCP,3,782,20.46035805941179,391
"172.16.0.1","192.168.10.50",TCP,2,4920,4.21572626509574,287178
"192.168.10.50","172.16.0.1",TCP,2,1541,4.065240872887879,1543
"192.168.10.51","172.16.0.1",TCP,2,1426,156.8294044912932,1433
"192.168.10.25","142.0.160.53",TCP,2,636,161.65974437691173,1334
"192.168.10.51","162.213.33.50",TCP,2,565,113.70365040390588,1147
"142.0.160.53","192.168.10.25",TCP,2,697,0.0,697
"192.168.10.50","192.168.10.3",TCP,2,635,161.01441950286886,488
"192.168.10.19","67.72.99.137",TCP,1,942,148.4014976774262,1896
"192.168.10.51","162.213.33.50",TCP,1,563,112.4256895601485,1145
"104.88.66.118","192.168.10.25",TCP,1,1462,11.611526182528744,1044
"192.168.10.51","172.16.0.1",TCP,1,846,246.0989219768912,756
"192.168.10.50","192.168.10.3",TCP,1,606,163.64000710101251,478
